first name,last name,email,loan amount,loan term,income,age,loan rate,loan id
Robert,Monahan,monahan.robert@rempel.com,10000,10,24000,25,,
Janie,Nicolas,janie.nicolas@yahoo.com,50000,3,70000,27,,
Yannis,Koepp,ykoepp@gmail.com,2000,1,120000,33,,
Jay,Don,jaydon52@harvey.com,700000,10,30000,31,,
Dasia,Schuppe,schuppe.dasia@gmail.com,12000,5,23000,60,,
Betina,Sie,bessie25@hotmail.com,15000,3,60000,45,,
Gabriel,Kirlin,gabriel.kirlin@gmail.com,500,5,10000,50,,
Johanna,Hammes,hammes.johanna@gmail.com,1000000,1,78000,21,,
Stefanie,Dibbert,stefanie.dibbert@gorczany.com,350000,3,50000,18,,
Don,Graham,dgraham@yahoo.com,25000,5,45500,65,,
