first name,last name,email,loan amount,loan term,income,age,loan rate,loan id
Robert,Monahan,monahan.robert@rempel.com,10000,10,24000,25,,6215e08ec380ad006e302a1b
Janie,Nicolas,janie.nicolas@yahoo.com,50000,3,70000,27,,6215e0cac380ad006e302a1c
Yannis,Koepp,ykoepp@gmail.com,2000,1,120000,33,,6215e107c380ad006e302a1d
Jay,Don,jaydon52@harvey.com,700000,10,30000,31,,6215e125c380ad006e302a1e
Dasia,Schuppe,schuppe.dasia@gmail.com,12000,5,23000,60,,6215e12fc380ad006e302a1f
Betina,Sie,bessie25@hotmail.com,15000,3,60000,45,,6215e138c380ad006e302a20
Gabriel,Kirlin,gabriel.kirlin@gmail.com,500,5,10000,50,,6215e142c380ad006e302a21
Johanna,Hammes,hammes.johanna@gmail.com,1000000,1,78000,21,,6215e14bc380ad006e302a22
Stefanie,Dibbert,stefanie.dibbert@gorczany.com,350000,3,50000,18,,6215e155c380ad006e302a23
Don,Graham,dgraham@yahoo.com,25000,5,45500,65,,6215e15ec380ad006e302a24
